searched_item_unit_id,similar_item_unit_id,searched_item_query,similar_item_query,searched_item_relevance,similar_item_relevance,composite_similarity_score,accuracy
711158459,711158459,playstation 4,playstation 4,3.67,3.67,1.0,1.0
711158459,711158460,playstation 4,playstation 4,3.67,4.0,1.0,
711158459,711158461,playstation 4,playstation 4,3.67,4.0,0.8757672946008445,
711158459,711158462,playstation 4,playstation 4,3.67,3.67,0.27900471519868486,
711158459,711158463,playstation 4,playstation 4,3.67,3.33,1.0,
711158459,711158464,playstation 4,playstation 4,3.67,3.2,1.0,
711158459,711158465,playstation 4,playstation 4,3.67,4.0,0.26444233066408646,
711158459,711158466,playstation 4,playstation 4,3.67,4.0,0.777135604296767,
711158459,711158467,playstation 4,playstation 4,3.67,3.75,0.43727698611625615,
711158459,711158468,playstation 4,playstation 4,3.67,2.33,1.0,
711158459,711158469,playstation 4,playstation 4,3.67,4.0,0.3671818365868396,
711158459,711158470,playstation 4,playstation 4,3.67,4.0,0.30607655721817506,
711158459,711158471,playstation 4,playstation 4,3.67,3.33,0.37517171228099866,
711158459,711158472,playstation 4,playstation 4,3.67,3.0,1.0,
711158459,711158473,playstation 4,playstation 4,3.67,3.4,0.34954327924245715,
711158459,711158474,playstation 4,playstation 4,3.67,4.0,0.5,
711158459,711158475,playstation 4,playstation 4,3.67,2.8,0.5,
711158459,711158476,playstation 4,playstation 4,3.67,4.0,0.37628983190390797,
711158459,711158477,playstation 4,playstation 4,3.67,3.0,0.7820121563504081,
711158459,711158478,playstation 4,playstation 4,3.67,2.33,0.27900471519868486,
711158459,711158479,playstation 4,playstation 4,3.67,4.0,0.5,
711158459,711158480,playstation 4,playstation 4,3.67,4.0,0.5,
711158459,711158481,playstation 4,playstation 4,3.67,4.0,0.43338513194985084,
711158459,711158482,playstation 4,playstation 4,3.67,4.0,0.5,
711158459,711158483,playstation 4,playstation 4,3.67,4.0,0.3546260412515323,
711158459,711158484,playstation 4,eye cream,3.67,4.0,0.2201015857666684,
711158459,711158485,playstation 4,eye cream,3.67,3.4,0.21660047726687148,
711158459,711158486,playstation 4,eye cream,3.67,4.0,0.21712961292570196,
711158459,711158487,playstation 4,eye cream,3.67,3.75,0.2174210828402551,
711158459,711158488,playstation 4,eye cream,3.67,4.0,0.2130986477515399,
711158459,711158489,playstation 4,eye cream,3.67,4.0,0.22162403613145806,
711158459,711158490,playstation 4,eye cream,3.67,4.0,0.21851565051417574,
711158459,711158491,playstation 4,eye cream,3.67,4.0,0.2162844945169759,
711158459,711158492,playstation 4,eye cream,3.67,3.67,0.2190603475954609,
711158459,711158493,playstation 4,eye cream,3.67,3.75,0.2201015857666684,
711158459,711158494,playstation 4,eye cream,3.67,4.0,0.22027023488576036,
711158459,711158495,playstation 4,eye cream,3.67,4.0,0.21756855274465214,
711158459,711158496,playstation 4,eye cream,3.67,4.0,0.2201015857666684,
711158459,711158497,playstation 4,eye cream,3.67,4.0,0.21747346998060013,
711158459,711158498,playstation 4,eye cream,3.67,3.4,0.21507635200237926,
711158459,711158499,playstation 4,eye cream,3.67,3.0,0.22040873712791836,
711158459,711158500,playstation 4,eye cream,3.67,4.0,0.22278878337594876,
711158459,711158501,playstation 4,eye cream,3.67,4.0,0.2201015857666684,
711158459,711158502,playstation 4,eye cream,3.67,4.0,0.2190081467470483,
711158459,711158503,playstation 4,eye cream,3.67,4.0,0.21955399619596025,
711158459,711158504,playstation 4,eye cream,3.67,4.0,0.21917984991129444,
711158459,711158505,playstation 4,eye cream,3.67,3.67,0.21931406425617647,
711158459,711158506,playstation 4,eye cream,3.67,3.67,0.22103487396110252,
711158459,711158507,playstation 4,eye cream,3.67,4.0,0.22609609442134956,
711158459,711158508,playstation 4,eye cream,3.67,4.0,0.21905223796109247,
711158459,711158509,playstation 4,routers,3.67,4.0,0.21947239558519116,
711158459,711158510,playstation 4,routers,3.67,3.0,0.2238683314930248,
711158459,711158511,playstation 4,routers,3.67,2.6,0.22052793100468515,
711158459,711158512,playstation 4,routers,3.67,4.0,0.22636808519669704,
711158459,711158513,playstation 4,routers,3.67,2.33,0.22367342285270148,
711158459,711158514,playstation 4,routers,3.67,1.33,0.22724158518669274,
711158459,711158515,playstation 4,routers,3.67,4.0,0.22289644574940964,
711158459,711158516,playstation 4,routers,3.67,4.0,0.2225640988806175,
711158459,711158517,playstation 4,routers,3.67,4.0,0.2191503774297649,
711158459,711158518,playstation 4,routers,3.67,3.67,0.22035315035864966,
711158459,711158519,playstation 4,routers,3.67,3.67,0.2191503774297649,
711158459,711158520,playstation 4,routers,3.67,4.0,0.2221611474414916,
711158459,711158521,playstation 4,routers,3.67,3.75,0.2201694401746956,
711158459,711158522,playstation 4,routers,3.67,4.0,0.22090138669488046,
711158459,711158523,playstation 4,routers,3.67,2.0,0.2243215314684324,
711158459,711158524,playstation 4,routers,3.67,4.0,0.22481575986364852,
711158459,711158525,playstation 4,routers,3.67,4.0,0.22035315035864966,
711158459,711158526,playstation 4,routers,3.67,4.0,0.22120798118325974,
711158459,711158527,playstation 4,routers,3.67,4.0,0.2202754593332063,
711158459,711158528,playstation 4,routers,3.67,4.0,0.237767450076814,
711158459,711158529,playstation 4,routers,3.67,4.0,0.4619797669113437,
711158459,711158530,playstation 4,routers,3.67,4.0,0.22279471878274876,
711158459,711158531,playstation 4,routers,3.67,4.0,0.21933953703493675,
711158459,711158532,playstation 4,routers,3.67,3.67,0.22645406982656385,
711158459,711158533,playstation 4,routers,3.67,4.0,0.22090138669488046,
711158459,711158534,playstation 4,shaver panasonic,3.67,3.33,0.22373965859120984,
711158459,711158535,playstation 4,shaver panasonic,3.67,2.8,0.22412054857602595,
711158459,711158536,playstation 4,shaver panasonic,3.67,2.0,0.22160446128526373,
711158459,711158537,playstation 4,shaver panasonic,3.67,4.0,0.453378476886782,
711158459,711158538,playstation 4,shaver panasonic,3.67,3.2,0.4747592717901604,
711158459,711158539,playstation 4,shaver panasonic,3.67,2.8,0.22368127244672031,
711158459,711158540,playstation 4,shaver panasonic,3.67,4.0,0.22351963898551436,
711158459,711158541,playstation 4,shaver panasonic,3.67,4.0,0.4448263036661081,
711158459,711158542,playstation 4,shaver panasonic,3.67,4.0,0.2225118855309428,
711158459,711158543,playstation 4,shaver panasonic,3.67,4.0,0.22428769768275775,
711158459,711158544,playstation 4,shaver panasonic,3.67,3.67,0.2235921740335981,
711158459,711158545,playstation 4,shaver panasonic,3.67,4.0,0.22362606808107688,
711158459,711158546,playstation 4,shaver panasonic,3.67,4.0,0.22093832329009225,
711158459,711158547,playstation 4,shaver panasonic,3.67,3.67,0.22341137316639825,
711158459,711158548,playstation 4,shaver panasonic,3.67,3.33,0.22437463896866688,
711158459,711158549,playstation 4,shaver panasonic,3.67,4.0,0.44593456435023787,
711158459,711158550,playstation 4,shaver panasonic,3.67,4.0,0.22479563163118596,
711158459,711158551,playstation 4,shaver panasonic,3.67,3.67,0.222377166378682,
711158459,711158552,playstation 4,shaver panasonic,3.67,4.0,0.4502506472055149,
711158459,711158553,playstation 4,shaver panasonic,3.67,4.0,0.2220015033384438,
711158459,711158554,playstation 4,shaver panasonic,3.67,3.0,0.22368127244672031,
711158459,711158555,playstation 4,shaver panasonic,3.67,4.0,0.2265606007132771,
711158459,711158556,playstation 4,shaver panasonic,3.67,4.0,0.22636142381878194,
711158459,711158557,playstation 4,shaver panasonic,3.67,3.4,0.2249739197556928,
711158459,711158558,playstation 4,shaver panasonic,3.67,2.33,0.45280958806147226,
711158459,711158559,playstation 4,coffee grinder,3.67,4.0,0.2184930533302826,
711158459,711158560,playstation 4,coffee grinder,3.67,3.67,0.22525932414991495,
711158459,711158561,playstation 4,coffee grinder,3.67,4.0,0.21473737057199188,
711158459,711158562,playstation 4,coffee grinder,3.67,3.67,0.23275744107645466,
711158459,711158563,playstation 4,coffee grinder,3.67,3.33,0.21942680066607567,
711158459,711158564,playstation 4,coffee grinder,3.67,3.67,0.22124841038113904,
711158459,711158565,playstation 4,coffee grinder,3.67,4.0,0.2249338095493024,
711158459,711158566,playstation 4,coffee grinder,3.67,4.0,0.2230825782910048,
711158459,711158567,playstation 4,coffee grinder,3.67,3.67,0.2188019002374566,
711158459,711158568,playstation 4,coffee grinder,3.67,2.67,0.22195165876263853,
711158459,711158569,playstation 4,coffee grinder,3.67,4.0,0.4497015108379876,
711158459,711158570,playstation 4,coffee grinder,3.67,2.33,0.2189693786560624,
711158459,711158571,playstation 4,coffee grinder,3.67,3.0,0.21512403541823585,
711158459,711158572,playstation 4,coffee grinder,3.67,4.0,0.2345780159896587,
711158459,711158573,playstation 4,coffee grinder,3.67,4.0,0.2138724320431456,
711158459,711158574,playstation 4,coffee grinder,3.67,2.8,0.2179362642304082,
711158459,711158575,playstation 4,coffee grinder,3.67,4.0,0.22166882186816225,
711158459,711158576,playstation 4,coffee grinder,3.67,4.0,0.21759454898615965,
711158459,711158577,playstation 4,coffee grinder,3.67,4.0,0.2167318081101758,
711158459,711158578,playstation 4,coffee grinder,3.67,4.0,0.216474738142874,
711158459,711158579,playstation 4,coffee grinder,3.67,4.0,0.21479373922158185,
711158459,711158580,playstation 4,coffee grinder,3.67,4.0,0.22419936562568374,
711158459,711158581,playstation 4,coffee grinder,3.67,4.0,0.21666191509843447,
711158459,711158582,playstation 4,coffee grinder,3.67,4.0,0.2144383143936575,
711158459,711158583,playstation 4,coffee grinder,3.67,3.33,0.21886988123946508,
711158459,711158584,playstation 4,high chairs,3.67,4.0,0.45205326305764715,
711158459,711158585,playstation 4,high chairs,3.67,4.0,0.21866815665867734,
711158459,711158586,playstation 4,high chairs,3.67,3.33,0.22180148040171035,
711158459,711158587,playstation 4,high chairs,3.67,4.0,0.22134044899316194,
711158459,711158588,playstation 4,high chairs,3.67,3.33,0.2189041647128542,
711158459,711158589,playstation 4,high chairs,3.67,3.67,0.2176255966427473,
711158459,711158590,playstation 4,high chairs,3.67,4.0,0.21866815665867734,
711158459,711158591,playstation 4,high chairs,3.67,1.67,0.2218981013976316,
711158459,711158592,playstation 4,high chairs,3.67,4.0,0.4452076833450191,
711158459,711158593,playstation 4,high chairs,3.67,3.67,0.2208999453823062,
711158459,711158594,playstation 4,high chairs,3.67,4.0,0.44826412128951876,
711158459,711158595,playstation 4,high chairs,3.67,3.33,0.2154468130501531,
711158459,711158596,playstation 4,high chairs,3.67,4.0,0.4472822367731304,
711158459,711158597,playstation 4,high chairs,3.67,3.4,0.2231176387869734,
711158459,711158598,playstation 4,high chairs,3.67,3.0,0.21958482700645846,
711158459,711158599,playstation 4,high chairs,3.67,3.67,0.21959492194303834,
711158459,711158600,playstation 4,high chairs,3.67,4.0,0.2159254994568937,
