Unnamed: 0,_unit_id,relevance,relevance:variance,product_image,product_link,product_price,product_title,query,rank,source,url,product_description
0,711158459,3.67,0.47100000000000003,http://thumbs2.ebaystatic.com/d/l225/m/mzvzEUIknaQclZ801YCY1ew.jpg,http://www.ebay.com/itm/Sony-PlayStation-4-PS4-Latest-Model-500-GB-Jet-Black-Console-/321459436277?pt=LH_DefaultDomain_0&hash=item4ad879baf5,$329.98 ,Sony PlayStation 4 (PS4) (Latest Model)- 500 GB Jet Black Console,playstation 4,1,eBay,http://www.ebay.com/sch/i.html?_from=R40&_trksid=p2050601.m570.l1313.TR11.TRC1.A0.H0.Xplant.TRS0&_nkw=playstation%204,"The PlayStation 4 system opens the door to an incredible journey through immersive new gaming worlds and a deeply connected gaming community. Step into living, breathing worlds where you are hero of your epic journey. Explore gritty urban environments, vast galactic landscapes, and fantastic historical settings brought to life on an epic scale, without limits. With an astounding launch lineup and over 180 games in development the PS4 system offers more top-tier blockbusters and inventive indie hits than any other next-gen console. The PS4 system is developer inspired, gamer focused. The PS4 system learns how you play and intuitively curates the content you use most often. Fire it up, and your PS4 system points the way to new, amazing experiences you can jump into alone or with friends. Create your own legend using a sophisticated, intuitive network built for gamers. Broadcast your gameplay live and direct to the world, complete with your commentary. Or immortalize your most epic moments and share at the press of a button. Access the best in music, movies, sports and television. PS4 system doesn t require a membership fee to access your digital entertainment subscriptions. You get the full spectrum of entertainment that matters to you on the PS4 system. PlayStation 4: The Best Place to Play The PlayStation 4 system provides dynamic, connected gaming, powerful graphics and speed, intelligent personalization, deeply integrated social capabilities, and innovative second-screen features. Combining unparalleled content, immersive gaming experiences, all of your favorite digital entertainment apps, and PlayStation exclusives, the PS4 system focuses on the gamers.Gamer Focused, Developer InspiredThe PS4 system focuses on the gamer, ensuring that the very best games and the most immersive experiences are possible on the platform.<br>Read more about the PS4 on ebay guides.</br>"
1,711158460,4.0,0.0,http://thumbs3.ebaystatic.com/d/l225/m/mJNDmSyIS3vUasKIJEBy4Cw.jpg,http://www.ebay.com/itm/Sony-PlayStation-4-Latest-Model-500-GB-Jet-Black-Console-/131467224962?pt=LH_DefaultDomain_0&hash=item1e9c0ea782,$324.84 ,Sony PlayStation 4 (Latest Model)- 500 GB Jet Black Console,playstation 4,2,eBay,http://www.ebay.com/sch/i.html?_from=R40&_trksid=p2050601.m570.l1313.TR11.TRC1.A0.H0.Xplant.TRS0&_nkw=playstation%204,"The PlayStation 4 system opens the door to an incredible journey through immersive new gaming worlds and a deeply connected gaming community. Step into living, breathing worlds where you are hero of your epic journey. Explore gritty urban environments, vast galactic landscapes, and fantastic historical settings brought to life on an epic scale, without limits. With an astounding launch lineup and over 180 games in development the PS4 system offers more top-tier blockbusters and inventive indie hits than any other next-gen console. The PS4 system is developer inspired, gamer focused. The PS4 system learns how you play and intuitively curates the content you use most often. Fire it up, and your PS4 system points the way to new, amazing experiences you can jump into alone or with friends. Create your own legend using a sophisticated, intuitive network built for gamers. Broadcast your gameplay live and direct to the world, complete with your commentary. Or immortalize your most epic moments and share at the press of a button. Access the best in music, movies, sports and television. PS4 system doesn t require a membership fee to access your digital entertainment subscriptions. You get the full spectrum of entertainment that matters to you on the PS4 system. PlayStation 4: The Best Place to Play The PlayStation 4 system provides dynamic, connected gaming, powerful graphics and speed, intelligent personalization, deeply integrated social capabilities, and innovative second-screen features. Combining unparalleled content, immersive gaming experiences, all of your favorite digital entertainment apps, and PlayStation exclusives, the PS4 system focuses on the gamers.Gamer Focused, Developer InspiredThe PS4 system focuses on the gamer, ensuring that the very best games and the most immersive experiences are possible on the platform.<br>Read more about the PS4 on ebay guides.</br>"
25,711158484,4.0,0.0,http://thumbs2.ebaystatic.com/d/l225/m/mrraWCpvP5YKk5rYgotVDLg.jpg,http://www.ebay.com/itm/NEW-Clinique-Repairwear-Laser-Focus-Wrinkle-Correcting-Eye-Cream-5ml-/141015736665?pt=LH_DefaultDomain_0&hash=item20d5316159,$8.99 ,NEW! Clinique Repairwear Laser Focus Wrinkle Correcting Eye Cream  5ml,eye cream,1,eBay,http://www.ebay.com/sch/i.html?_from=R40&_trksid=p2050601.m570.l1313.TR11.TRC1.A0.H0.Xplant.TRS0&_nkw=eye%20cream,
26,711158485,3.4,0.8,http://thumbs1.ebaystatic.com/d/l225/m/mJ4ekz6_bDT5G7wYtjM-qRg.jpg,http://www.ebay.com/itm/Obagi-Elastiderm-Eye-Treatment-Cream-0-5-oz-15g-Authentic-NiB-Sealed-5-/121451624128?pt=LH_DefaultDomain_0&hash=item1c4714b6c0,$49.72 ,Obagi Elastiderm Eye Treatment Cream 0.5 oz / 15g Authentic NiB Sealed [5],eye cream,2,eBay,http://www.ebay.com/sch/i.html?_from=R40&_trksid=p2050601.m570.l1313.TR11.TRC1.A0.H0.Xplant.TRS0&_nkw=eye%20cream,
50,711158509,4.0,0.0,http://thumbs3.ebaystatic.com/d/l225/m/mdSBH9ROXRn3TBb8OFDT6jA.jpg,http://www.ebay.com/itm/D-Link-DIR-615-300Mbps-Wireless-N-Router-4-Port-w-Firewall-/221417068842?pt=LH_DefaultDomain_0&hash=item338d7c592a,$17.95 ,D-Link DIR-615 300Mbps Wireless-N Router 4-Port w/Firewall,routers,1,eBay,http://www.ebay.com/sch/i.html?_from=R40&_trksid=p2050601.m570.l1313.TR11.TRC1.A0.H0.Xplant.TRS0&_nkw=routers,
51,711158510,3.0,1.4140000000000001,http://thumbs1.ebaystatic.com/d/l225/m/mozWd2SBskbDBlWAKsMlVew.jpg,http://www.ebay.com/itm/Triton-MOF001-2-1-4hp-dual-mode-precision-Router-New-3-day-auction-/321735833636?pt=LH_DefaultDomain_0&hash=item4ae8f33824,$180.50 ,Triton MOF001 2 1/4hp dual mode precision Router. New!! *3 day auction*,routers,2,eBay,http://www.ebay.com/sch/i.html?_from=R40&_trksid=p2050601.m570.l1313.TR11.TRC1.A0.H0.Xplant.TRS0&_nkw=routers,
75,711158534,3.33,0.47100000000000003,http://thumbs3.ebaystatic.com/d/l225/m/mzKKlCxbADObevcgoNjbXRg.jpg,http://www.ebay.com/itm/Panasonic-ES-LA63-Cordless-Rechargeable-Mens-Electric-Shaver-/201337911294?pt=LH_DefaultDomain_0&hash=item2ee0acb7fe,"$45.00
Trending at
$72.00",Panasonic ES-LA63 Cordless Rechargeable  Men's Electric Shaver,shaver panasonic,1,eBay,http://www.ebay.com/sch/i.html?_from=R40&_trksid=p2050601.m570.l1313.TR11.TRC1.A0.H0.Xplant.TRS0&_nkw=shaver%20panasonic,
76,711158535,2.8,1.166,http://thumbs4.ebaystatic.com/d/l225/m/mt34Y-u0okj-SqQm8Ng_rbQ.jpg,http://www.ebay.com/itm/Panasonic-ARC-5-Best-Mens-Shaver-/111651584739?pt=LH_DefaultDomain_0&hash=item19fef3fae3,$127.50 ,Panasonic ARC 5 Best Mens Shaver,shaver panasonic,2,eBay,http://www.ebay.com/sch/i.html?_from=R40&_trksid=p2050601.m570.l1313.TR11.TRC1.A0.H0.Xplant.TRS0&_nkw=shaver%20panasonic,
100,711158559,4.0,0.0,http://thumbs4.ebaystatic.com/d/l225/m/mdjbD7YFR6JRq-pkeajhK7w.jpg,http://www.ebay.com/itm/Baratza-Solis-Maestro-Conical-Burr-Coffee-Bean-Grinder-Works-Great-Nice-Cond-/201336065439?pt=LH_DefaultDomain_0&hash=item2ee0908d9f,$43.00 ,Baratza Solis Maestro Conical Burr Coffee Bean Grinder Works Great Nice Cond,coffee grinder,1,eBay,http://www.ebay.com/sch/i.html?_from=R40&_trksid=p2050601.m570.l1313.TR11.TRC1.A0.H0.Xplant.TRS0&_nkw=coffee%20grinder,
101,711158560,3.67,0.47100000000000003,http://thumbs4.ebaystatic.com/d/l225/m/mtXoRn5Ytmqz0GLHYmBUxpA.jpg,http://www.ebay.com/itm/Proctor-Silex-Fresh-Grind-Electric-Coffee-Bean-Grinder-White-/111585976635?pt=LH_DefaultDomain_0&hash=item19fb0ae13b,$14.89 ,Proctor Silex Fresh Grind Electric Coffee Bean Grinder White,coffee grinder,2,eBay,http://www.ebay.com/sch/i.html?_from=R40&_trksid=p2050601.m570.l1313.TR11.TRC1.A0.H0.Xplant.TRS0&_nkw=coffee%20grinder,
